,RFxName,RFx_Received_Date__c,RFx_Type__c,Industry_x__c,Opportunity__c,AccountName,Division__c,USD_Price__c,StageName,Industry__c,Account_Country__c,Type,Name
106,Kerry Foods DMS RFP,2020-10-14 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000016AozyAAC,Kerry - XECM for M365 & SAP,Enterprise Content Services,715224.93,Lost,Food & Beverage Manufacturing,IE,Existing Customer - New Functionality,Sales
107,Kuwait Univ ECM RFI,2020-08-20 00:00:00.0000000,RFI (Request for Information),Education,0063z000014XQSOAA4,KU - xECM - New Frontiers,Enterprise Content Services,707723.44,2. Gain Access,Education,KW,New Customer,Sales
108,Kuwait Univ ECM RFP,2020-09-08 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000014XQSOAA4,KU - xECM - New Frontiers,Enterprise Content Services,707723.44,2. Gain Access,Education,KW,New Customer,Sales
109,UK Navy - IoT,2021-02-23 00:00:00.0000000,RFP (Request for Proposal),,0063z000016ZFpIAAW,"UK MoD, Navy beta IoT",Business Network,697574.0,6. Secure Agreement,Government - Federal,GB,Existing Customer - New Functionality,Cloud
110,City of London Police - eDiscovery - Soft Market Text,2020-09-03 00:00:00.0000000,RFI (Request for Information),Public Sector,006D0000010FF0SIAW,City of London Police/Axcelerate On-Prem or Cloud (Soft market test/RFP),LegalTech Sales,690007.31,3. Establish Needs,"Government - Justice, Public Order, and Safety",GB,New Customer,Cloud
111,HMRC - Documentum - Professional Services - EU Exit group Opportunity,2021-03-05 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017djKyAAI,HMRC - Framework for Customer Service Group (CSG),Professional Services,690007.31,Dropped,Professional Services,GB,Existing Customer/New Solution,Global Services
112,HMRC - Documentum - Professional Services - VOA group Opportunity,2021-03-05 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017djKyAAI,HMRC - Framework for Customer Service Group (CSG),Professional Services,690007.31,Dropped,Professional Services,GB,Existing Customer/New Solution,Global Services
113,HMRC - Documentum - Professional Services - VOA group Opportunity,2021-03-24 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017djKyAAI,HMRC - Framework for Customer Service Group (CSG),Professional Services,690007.31,Dropped,Professional Services,GB,Existing Customer/New Solution,Global Services
114,HMRC - Documentum - Professional Services - EU Exit group Opportunity,2021-03-24 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017djKyAAI,HMRC - Framework for Customer Service Group (CSG),Professional Services,690007.31,Dropped,Professional Services,GB,Existing Customer/New Solution,Global Services
115,VMWare Inc. - EDiscovery,2020-10-19 00:00:00.0000000,RFP (Request for Proposal),Computer Software,0063z000014y5ppAAA,FOCUSED - VMware - Enterprise ECA & Collection - Project Maui,LegalTech Sales,681187.5,3. Establish Needs,High Tech,US,New Customer,Sales
116,HMRC - Tobacco Tracking - RFP,2021-01-06 00:00:00.0000000,ITT (Invitation to Tender),Public Sector,0063z000016XbfsAAC,HMRC - Tobacco Tracking,Enterprise Content Services,677162.73,Dropped,Non-Profit Agencies & Charities,GB,Existing Customer - More Capacity,Sales
117,Boeing - Axcelerate (AXC),2020-08-12 00:00:00.0000000,RFP (Request for Proposal),Aerospace & Defense,0063z000014xz0MAAQ,Focused - Boeing - RFP- AXC On Prem,LegalTech Sales,675000.0,Lost,Aerospace,US,New Customer,Sales
118,Los Angeles Unified School District - Web Content Management Solution,2020-12-09 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000016Yl0SAAS,Los Angeles Unified School District- TeamSite RFP - TBSCG,US Public Sector Sales,660498.0,3. Establish Needs,Education,US,Existing Customer - New Functionality,Sales
119,W&W - Archiv (IBM Migration),2021-03-02 00:00:00.0000000,RFI (Request for Information),Professional Services,0063z000017djmiAAA,W&W - Archiv (IBM Migration) - Controlling,Indirect Sales,653757.59,2. Gain Access,Banking,DE,Existing Customer - New Functionality,Sales
120,RB Archival RFP,2020-11-09 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,006D000000v3CnEIAU,RB – InfoArchive,Enterprise Content Services,653550.46,5. Propose Solution,Consumer Goods,GB,Existing Customer - New Functionality,Cloud
121,Wayne County - MI Case Management,2020-07-21 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015YUJnAAO,Wayne County Prosecutor's Office-XECM,US Public Sector Sales,649842.89,3. Establish Needs,Government - Local,US,New Customer,Sales
122,Ministry of the Interior-LT-ProIT-xECM - RFP,2020-08-03 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000012hbFrAAI,Ministry of the Interior-LT-ProIT-xECM/Documentum,Enterprise Content Services,646252.98,5. Propose Solution,Government - Federal,LT,New Customer,Sales
123,Ministry of the Interior-LT-ProIT-xECM,2020-09-14 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000012hbFrAAI,Ministry of the Interior-LT-ProIT-xECM/Documentum,Enterprise Content Services,646252.98,5. Propose Solution,Government - Federal,LT,New Customer,Sales
124,Robert Bosch Tool Corporation - Digital Asset Management and  Media Asset Manage,2020-10-30 00:00:00.0000000,RFQ (Request for Quote),Manufacturing,0063z000014YBvIAAW,Bosch Power Tools-OTMM,CEM Sales,645074.36,Lost,High Tech,US,New Customer,Cloud
125,Robert Bosch Power Tools - Digital Asset Management (DAM),2020-09-29 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000014YBvIAAW,Bosch Power Tools-OTMM,CEM Sales,645074.36,Lost,High Tech,US,New Customer,Cloud
126,The Insolvency Service (Discovery)-Axcelerate Cloud - 2.5TUM - 3 year - RFI,2020-08-10 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000012PeCWAA0,The Insolvency Service (Discovery)-Axcelerate Cloud - 2.5TUM - 3 year,LegalTech Sales,643939.48,3. Establish Needs,Government - Federal,GB,New Customer,Cloud
127,AVIVA Data Archive RFI,2021-01-14 00:00:00.0000000,RFI (Request for Information),Insurance,0063z000014y3ATAAY,Aviva- InfoArchive,Enterprise Content Services,628516.53,4. Develop Solution,Insurance,GB,Existing Customer - New Functionality,Sales
128,The Cadillac Fairview Corporation Limited  - Records Management,2020-11-09 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016A1fLAAS,Cadillac - Cloud ECM,Enterprise Content Services,628360.51,5. Propose Solution,"Real Estate, Rental & Leasing",CA,New Customer,Cloud
129,"PNC Financial Services Group, Inc. - Ad-hoc Servicing Communications",2021-03-02 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000016BBFCAA4,PNC - Exstream CE 20.4,CEM Sales,609145.46,4. Develop Solution,Banking,US,Existing Customer - New Functionality,Sales
130,Kone - AIC,2021-03-26 00:00:00.0000000,RFI (Request for Information),,0063z000017d08NAAQ,KONE - AIC AP - Q4/21,Business Network,603910.42,4. Develop Solution,Industrial Manufacturing,FI,Existing Customer - New Functionality,Cloud
131,PG&E - Documentum Upgrade,2020-08-25 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000015WzRXAA0,ASO-WST-PG&E-RFP-SOW-Documentum Migration to PG&E AWS Tenant,Professional Services,599050.0,B. Gain Access,Utilities,US,,Global Services
132,KONE Light KIS - AIC,2021-03-30 00:00:00.0000000,RFP (Request for Proposal),,0063z000017elrcAAA,KONE - AIC AR - Q1/22,Business Network,596767.02,2. Gain Access,Industrial Manufacturing,FI,Existing Customer - New Functionality,Cloud
133,Alliance Healthcare Group France - AIC MS,2021-03-23 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015ZBg9AAG,Alliance Healthcare Group France - Digicoffre,Business Network,596767.02,3. Establish Needs,Healthcare,FR,New Customer,Cloud
134,LA County Department of Public Social Services (DPSS) - Professional Services,2020-10-01 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000014YJ3BAAW,ASO_WST_LAC_DPSS_DCTM Migration RFP,Professional Services,595000.0,Lost,Government - Local,US,,Global Services
135,Fluor Corporation - Digital Asset Management,2020-10-05 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000016AdKEAA0,Fluor - OTMM Cloud,CEM Sales,566917.5,5. Propose Solution,Engineering & Construction,US,New Customer,Cloud
136,Sierra Nevada Corporation - Enterprise Content Management,2020-07-13 00:00:00.0000000,RFP (Request for Proposal),Aerospace & Defense,0063z000014XwuFAAS,Sierra Nevada Corporation-Content Mgmt  RFP,Enterprise Content Services,561782.1,Lost,Aerospace,US,Existing Customer - New Functionality,Sales
137,Gloucester Council - RFP,2021-03-23 00:00:00.0000000,RFP (Request for Proposal),Public Sector,006D000000yTdtnIAC,Gloucestershire Council- xecm/VIM,Enterprise Content Services,558023.85,5. Propose Solution,Government - Local,GB,Existing Customer - New Functionality,Sales
138,Deutsche Telekom CLM Contract Lifecycle Management,2020-12-07 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000016YeHVAA0,Deutsche Telekom CLM Contract Lifecycle Management,Enterprise Content Services,555028.53,Dropped,Telecommunications,DE,Existing Customer - New Functionality,Sales
139,diconium / Heuking - eDocs,2020-07-07 00:00:00.0000000,RFI (Request for Information),Telecommunications,0063z000015XafGAAS,diconium / Heuking - eDocs,LegalTech Sales,539020.94,Lost,Professional Services,DE,New Customer,Sales
140,Alliant Energy - HR Document Management,2020-12-15 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016BagWAAS,Alliant - HR Transformation with xECM - Bear,Enterprise Content Services,530535.0,4. Develop Solution,Utilities,US,Existing Customer - More Capacity,Sales
141,Cloud Fax platform RFP,2021-02-16 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000012QfbUAAS,SOCIETE GENERALE - Cloud Fax,CEM Sales,529979.7,5. Propose Solution,Banking,FR,New Customer,Cloud
142,City of Barrie - IAM,2021-02-19 00:00:00.0000000,RFP (Request for Proposal),,0063z000017coIFAAY,IAM RFP City of Barrie-,Business Network,528170.72,4. Develop Solution,Government - Local,CA,New Customer,Cloud
143,Enersys - MS,2020-08-05 00:00:00.0000000,RFP (Request for Proposal),,0063z000015Xj5qAAC,Enersys-,Business Network,519835.0,Lost,Industrial Manufacturing,US,Existing Customer - More Capacity,Cloud
144,Motion Picture Industry Pension & Health Plans - Enterprise Content Management,2020-07-01 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015XW5IAAW,Motion Picture Industry Pension_ECM,Enterprise Content Services,512343.0,Lost,Non-Profit Agencies & Charities,US,Existing Customer - New Functionality,Sales
145,Application Decommissioning RFP (Custom),2020-09-04 00:00:00.0000000,RFP (Request for Proposal),,0063z0000169gNyAAI,EDP - IA Custom cloud - VILT,Enterprise Content Services,511681.46,Dropped,Utilities,PT,Existing Customer - New Functionality,Cloud
146,Securitas Europe- European ECM platform - RFI,2020-07-08 00:00:00.0000000,RFI (Request for Information),Professional Services,0063z000015Xaz6AAC,Securitas Europe- European ECM platform,Enterprise Content Services,500000.0,Dropped,Professional Services,SE,New Customer,Sales
147,Americold MS,2020-08-18 00:00:00.0000000,RFP (Request for Proposal),,0063z000015a33EAAQ,Americold- EDI Opp,Business Network,500000.0,Dropped,Transportation & Distribution,US,New Customer,Cloud
148,The Open University - Data Management - RFP,2020-08-13 00:00:00.0000000,RFP (Request for Proposal),Education,0063z000015ZXLkAAO,The Open University - Data Management,Business Network,500000.0,Dropped,Education,GB,Existing Customer - New Functionality,Cloud
149,Bank of England - ECM - ITT,2021-01-04 00:00:00.0000000,ITT (Invitation to Tender),Public Sector,0063z0000168cqjAAA,BoE - xECM for O365,Enterprise Content Services,492718.04,3. Establish Needs,Banking,GB,Existing Customer - New Functionality,Sales
150,MTIA DAM RFP,2020-12-02 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000013j6U9AAI,MTIA - OTMM,APAC Sales,485204.37,4. Develop Solution,Government - Federal,AU,New Customer,Cloud
151,Hilti - MS,2020-07-13 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000014YM01AAG,Hilti Inc- Managed Service,Business Network,480000.0,Lost,Industrial Manufacturing,US,New Customer,Cloud
152,NRW_IT.NRW_Posteingang,2020-11-03 00:00:00.0000000,RFQ (Request for Quote),,0063z0000168Im1AAE,NRW_IT.NRW_Posteingang,Enterprise Content Services,477936.37,Lost,Government - Federal,DE,Existing Customer - New Functionality,Sales
153,GED RFP,2020-10-09 00:00:00.0000000,RFP (Request for Proposal),Insurance,006D0000010lNkxIAE,COVEA Finance - EIM,Enterprise Content Services,477932.56,Dropped,Insurance,FR,New Customer,Sales
154,Blue Cross Blue Shield of Minnesota - Enterprise Document Management,2020-07-21 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000015YTtQAAW,BCBS of MN - ECM Solution,Enterprise Content Services,477388.0,Lost,Insurance,US,New Customer,Sales
155,CWS - Archiving SaaS,2020-07-06 00:00:00.0000000,RFP (Request for Proposal),,0063z000015XhXYAA0,CWS - Archiving SaaS,Enterprise Content Services,476975.55,Lost,Wholesale,DE,New Customer,Cloud
156,WTO - World Trade Org EDRMS RFP,2020-09-30 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016AMtSAAW,WTO_xECM_800users,Enterprise Content Services,476115.15,1. Identify Prospect,Administrative & Support Services,CH,New Customer,Cloud
157,City of Scottsdale - Electronic Document Services,2020-07-20 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YQwhAAG,City of Scottsdale - Documentum,US Public Sector Sales,472191.6,3. Establish Needs,Government - Local,US,Existing Customer - New Functionality,Sales
158,ASOS - DAM - RFI,2020-10-19 00:00:00.0000000,RFI (Request for Information),Retail,0063z000016AOs3AAG,ASOS.com-,CEM Sales,471933.76,3. Establish Needs,Retail,GB,New Customer,Cloud
159,Record Management System,2020-12-04 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015Xm1CAAS,OCDE - Records Management on premise,Enterprise Content Services,470132.04,5. Propose Solution,Defense & Intelligence,FR,Existing Customer - New Functionality,Sales
160,vodafone Explore voice analytics,2020-09-14 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,0063z0000168rBKAAY,vodafone Explore voice analytics,CEM Sales,466905.42,4. Develop Solution,Telecommunications,DE,Existing Customer - New Functionality,Sales
161,City of Hamilton - Document and Records Management,2020-07-28 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015YUa0AAG,City of Hamilton - New Logo,Enterprise Content Services,465914.21,Dropped,Government - Local,CA,New Customer,Sales
162,Affiliated Distributors - MS AO,2020-09-24 00:00:00.0000000,RFP (Request for Proposal),,0063z000015YTy6AAG,Affiliated Distributors-MS & Custom Order Applic,Business Network,458000.0,5. Propose Solution,Wholesale,US,New Customer,Cloud
163,Affiliated Distributors - MS AO,2020-07-21 00:00:00.0000000,RFI (Request for Information),,0063z000015YTy6AAG,Affiliated Distributors-MS & Custom Order Applic,Business Network,458000.0,5. Propose Solution,Wholesale,US,New Customer,Cloud
164,RFI - Helmholtz-Zentraum für Umweltforschung - Digitale Personalakte,2021-03-19 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000017efTSAAY,UFZ_OV 13_21 UFZ Digitale Personalakte,Enterprise Content Services,456212.91,2. Gain Access,Life Sciences,DE,New Customer,Sales
165,F. Hoffmann-La Roche AG Output Server,2021-03-19 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000017eX8fAAE,F. Hoffmann-La Roche AG Output Server,CEM Sales,447000.0,2. Gain Access,Healthcare,CH,Existing Customer - New Functionality,Sales
166,Konecranes - OCR - RFP,2021-02-15 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000016ZLAsAAO,Konecranes - OCR,Enterprise Content Services,438591.88,6. Secure Agreement,Industrial Manufacturing,FI,Existing Customer - New Functionality,Cloud
167,NZTA - Enterprise Bulk Communications Solution,2020-12-30 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000016a8INAAY,NZTA - Exstream,APAC Sales,432368.31,3. Establish Needs,Transportation & Distribution,NZ,Existing Customer - New Functionality,Sales
168,"Macy’s Technology, Inc. - Content Management System Project",2021-01-06 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000016ZZIkAAO,Macy's -TeamSite Upgrade/LiveSite Optimost,CEM Sales,428985.0,4. Develop Solution,Retail,US,Existing Customer - New Functionality,Sales
169,BASF Wintershalldea RFI Global DMS Cloud SaaS Project Huecker,2020-11-16 00:00:00.0000000,RFI (Request for Information),Manufacturing,0063z000016XVULAA4,BASF Wintershalldea central oppy RFI Global DMS Prebuild Cloud Project Huecker,Enterprise Content Services,423250.91,3. Establish Needs,Oil & Gas,DE,Existing Customer - New Functionality,Cloud
170,GEORG FISCHER - MS AIC,2020-07-22 00:00:00.0000000,RFP (Request for Proposal),,0063z000012hphdAAA,GEORG FISCHER - B2B MS,Business Network,419511.98,Lost,Industrial Manufacturing,CH,New Customer,Cloud
171,Heineken - xECM4SFSF rebound - SAP- 'ROYALTY',2020-08-20 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000015XcnvAAC,Heineken - xECM4SFSF rebound - SAP- 'ROYALTY',Enterprise Content Services,417746.85,4. Develop Solution,Food & Beverage Manufacturing,NL,SAP driven by SAP,Cloud
172,Document Generation RFP,2021-02-17 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,0063z000017chRvAAI,OVH/Aerow - CCM - TJA,CEM Sales,411728.08,4. Develop Solution,High Tech,FR,New Customer,Sales
173,Allianz_Group Data Archive,2020-10-19 00:00:00.0000000,RFP (Request for Proposal),Professional Services,0063z000014WsmTAAS,Allianz_Group Data Archive_InfoArchive,Enterprise Content Services,410659.08,Won and Closed,Professional Services,CH,Existing Customer - New Functionality,Won and Closed
174,Allianz_Group Data Archive_InfoArchive,2021-01-26 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000014WsmTAAS,Allianz_Group Data Archive_InfoArchive,Enterprise Content Services,410659.08,Won and Closed,Professional Services,CH,Existing Customer - New Functionality,Won and Closed
175,Request for Information (RFI) Project: Digital Asset Management,2020-07-06 00:00:00.0000000,RFI (Request for Information),,0063z000014XdzlAAC,HILTI Aktiengesellschaft-OTMM,CEM Sales,408000.0,Dropped,Industrial Manufacturing,LI,Existing Customer - New Functionality,Sales
176,HILTI Aktiengesellschaft-OTMM,2020-09-30 00:00:00.0000000,RFQ (Request for Quote),,0063z000014XdzlAAC,HILTI Aktiengesellschaft-OTMM,CEM Sales,408000.0,Dropped,Industrial Manufacturing,LI,Existing Customer - New Functionality,Sales
177,Pennsylvania State Government - Public Web Presence (PWP),2020-12-09 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016YYdCAAW,State of Pennsylvania-PA Web Presence,US Public Sector Sales,399999.99,Lost,Government - Federal,US,Existing Customer - New Functionality,Sales
178,Vaillant Core Signature,2021-03-12 00:00:00.0000000,RFI (Request for Information),Manufacturing,0063z000017e8W9AAI,Vaillant Core Signature,Enterprise Content Services,398580.87,1. Identify Prospect,High Tech,DE,Existing Customer - New Functionality,Cloud
179,State of Minnesota - The Office of MNIT Services - EDOCS,2020-10-22 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016BBjMAAW,ASO-WST-MN DOT eDOCS RFP,Professional Services,397500.0,Lost,Government - State/Provincial,US,Existing Customer/Expand Existing Solution,Global Services
180,NESTLE - DAM - RFI,2020-07-09 00:00:00.0000000,RFI (Request for Information),,006D0000010kBw0IAE,NESTLE -  DAM DXP Unlimited,CEM Sales,393393.63,Dropped,Food & Beverage Manufacturing,CH,Existing Customer - New Functionality,Sales
181,Nestle Content Hub (DAM) RFI,2020-07-20 00:00:00.0000000,RFI (Request for Information),Consumer Packaged Goods,006D0000010kBw0IAE,NESTLE -  DAM DXP Unlimited,CEM Sales,393393.63,Dropped,Food & Beverage Manufacturing,CH,Existing Customer - New Functionality,Sales
182,PRA Group Inc - OCR Services,2020-07-13 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000015XrcFAAS,The PRA Group- Core Capture,Enterprise Content Services,386715.0,Lost,Banking,US,Existing Customer - New Functionality,Sales
183,Saudi Data and AI Authority EDMAS RFP,2020-12-07 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016ABAwAAO,SDAIA - Archiving - MDS,Enterprise Content Services,383328.44,Won and Closed,Government - Federal,SA,New Customer,Won and Closed
184,US Naval Information Warfare Command - Records Management,2020-11-09 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000016BwxIAAS,Navy/NIWC/PEO MLB/PMW250-ESS/Extended ECM Platform (RM-MSA),US Public Sector Sales,380785.0,2. Gain Access,Defense & Intelligence,US,New Customer/New Solution,Sales
185,NBC Universal- Product Lifecycle Management,2020-07-22 00:00:00.0000000,RFP (Request for Proposal),Media & Entertainment,0063z000015YeBlAAK,Comcast (Universal Parks Resorts) - PLM initiative w/very limited engineering,Enterprise Content Services,374999.99,Dropped,Media & Entertainment,US,Existing Customer - New Functionality,Sales
186,KPN-Info Archive-Amplexor,2021-03-18 00:00:00.0000000,RFP (Request for Proposal),Telecommunications,0063z000017dThXAAU,KPN-Info Archive-Amplexor,Enterprise Content Services,364027.88,4. Develop Solution,Telecommunications,NL,Existing Customer - New Functionality,Sales
187,Refonte du système d'archivage de la direction Commerce,2021-02-04 00:00:00.0000000,RFI (Request for Information),Energy,0063z0000169aEXAAY,EDF Co - Archiving for Sales,Enterprise Content Services,362346.25,3. Establish Needs,Government - Federal,FR,New Customer,Sales
188,Oetker - xECM for SFSF - Tender,2020-09-02 00:00:00.0000000,RFI (Request for Information),,0063z0000168XHrAAM,Oetker - xECM for SFSF CE,Enterprise Content Services,357127.84,Won and Closed,Food & Beverage Manufacturing,DE,New Customer,Won and Closed
189,ICC_HR_Sept2020 - RFP,2020-09-30 00:00:00.0000000,RFP (Request for Proposal),Legal,0063z000016A4tqAAC,ICC_HR_Sept2020,Enterprise Content Services,354416.13,Lost,"Government - Justice, Public Order, and Safety",NL,SAP driven by SAP,Cloud
190,Social Security Administration - Content Server,2020-08-04 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015ZGwQAAW,SSA-Leidos-DMA Brava,Professional Services,351120.0,C. Establish Needs,Government - Federal,US,New Customer/New Solution,Global Services
191,eBay - Digital Asset Management (DAM),2020-08-10 00:00:00.0000000,RFI (Request for Information),Retail,0063z000015ZlLxAAK,eBay: OTMM,CEM Sales,350000.0,Lost,Retail,US,New Customer,Sales
192,Innocent - MS AO AIC,2020-08-28 00:00:00.0000000,RFP (Request for Proposal),,006D00000105ietIAA,Innocent MS migration,Business Network,347763.69,5. Propose Solution,Food & Beverage Manufacturing,GB,Existing Customer - New Functionality,Cloud
193,DGUV - RFP Upgrade DocCenter Los1,2020-07-24 00:00:00.0000000,RFP (Request for Proposal),Insurance,0063z000015a5XiAAI,DGUV - RFP Upgrade DocCenter Los1,Professional Services,347365.61,G. Booked,Insurance,DE,Existing Customer/Expand Existing Solution,Global Services
194,IMI Precision (Norgren) - MS,2021-01-25 00:00:00.0000000,RFP (Request for Proposal),Engineering & Construction,0063z000011qdzvAAA,IMI - Managed Services (Group Consolidation),Business Network,347238.34,2. Gain Access,Engineering & Construction,GB,Existing Customer - New Functionality,Cloud
195,CS + CA RFP,2020-11-16 00:00:00.0000000,RFP (Request for Proposal),Professional Services,006D000000zmELmIAM,Assura / Empower + CS + CA,CEM Sales,344925.56,3. Establish Needs,Insurance,CH,Existing Customer - New Functionality,Sales
196,Petroleum Authority Uganda EDRMS RFP,2020-12-18 00:00:00.0000000,RFP (Request for Proposal),Energy,0063z000016YVpWAAW,PAU-Coseke-EDMS Tender,Enterprise Content Services,344767.51,2. Gain Access,Professional Services,UG,New Customer,Sales
197,"State of Texas, Texas Department of Insurance (TDI) - eDiscovery Solution",2021-03-02 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000017cfrnAAA,Texas Department of Insurance - AXC On Prem - 1TB,US Public Sector Sales,344164.8,3. Establish Needs,"Government - Justice, Public Order, and Safety",US,New Customer,Sales
198,Biontech - RFI for Solution Provider - different lots,2021-03-01 00:00:00.0000000,RFI (Request for Information),Healthcare,0063z000017dhTeAAI,BioNTech SE- DAM,CEM Sales,341935.29,4. Develop Solution,Life Sciences,DE,New Customer,Sales
199,Merck -  Export Documentation Platform - RFP,2020-08-03 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000014X2keAAC,Merck - New RFP Export Documentation Platform,Enterprise Content Services,341779.26,Won and Closed,Healthcare,DE,Existing Customer - New Functionality,Won and Closed
200,Public Works and Government Services Canada - Dept of Canadian Heritage - Digita,2021-02-01 00:00:00.0000000,RFP (Request for Proposal),Public Sector,0063z000015a60fAAA,Department of Canadian Heritage - DAM,CEM Sales,341456.24,2. Gain Access,Government - Federal,CA,New Customer,Cloud
201,Government of Canada Heritage - Digital Asset Management,2020-08-19 00:00:00.0000000,RFI (Request for Information),Public Sector,0063z000015a60fAAA,Department of Canadian Heritage - DAM,CEM Sales,341456.24,2. Gain Access,Government - Federal,CA,New Customer,Cloud
202,DAM RFI,2020-07-08 00:00:00.0000000,RFI (Request for Information),Utilities,0063z000015XcrdAAC,EDF_DAM_EDFmediacenter,CEM Sales,340204.67,Lost,Utilities,FR,New Customer,Sales
203,DAM RFQ,2020-11-02 00:00:00.0000000,RFQ (Request for Quote),Utilities,0063z000015XcrdAAC,EDF_DAM_EDFmediacenter,CEM Sales,340204.67,Lost,Utilities,FR,New Customer,Sales
204,ABN - Core4SFSF - SAP - 'Royalty',2020-08-20 00:00:00.0000000,RFP (Request for Proposal),Financial Services,0063z000015ZitiAAC,ABN - xECM4SF - SAP - 'Royalty',Enterprise Content Services,338177.75,5. Propose Solution,Banking,NL,SAP driven by SAP,Cloud
205,E-invoicing RFP,2020-07-10 00:00:00.0000000,RFP (Request for Proposal),Consumer Packaged Goods,0063z000015XVNLAA4,SEB-VIM,Enterprise Content Services,333266.8,Lost,Consumer Goods,FR,New Customer,Sales
206,"Walmart Stores, Inc. - Media Management (OTMM)",2020-08-10 00:00:00.0000000,RFP (Request for Proposal),Retail,0063z000014yheLAAQ,Walmart- Marketing OTMM,CEM Sales,332325.0,Lost,Retail,US,New Customer,Sales
207,Webasto -xECM4Successfactors - SAP Royalty,2020-10-29 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000012QF3aAAG,Webasto -xECM4Successfactors - SAP Royalty,Enterprise Content Services,331380.53,Lost,Automotive,DE,SAP driven by SAP,Cloud
208,Bosch BT - DMS RFP - SAP Royalty,2020-08-11 00:00:00.0000000,RFP (Request for Proposal),Automotive,0063z000012hmgHAAQ,Bosch BT - DMS RFP - SAP Royalty,Enterprise Content Services,320582.78,Lost,High Tech,DE,SAP driven by SAP,Sales
209,Arc'One vdef RFP,2021-02-26 00:00:00.0000000,RFP (Request for Proposal),Manufacturing,0063z000016YZl3AAG,Somfy - Archive - Cloud,Enterprise Content Services,314900.9,4. Develop Solution,Industrial Manufacturing,FR,New Customer,Cloud
210,Saarland - DOMEA - Upsell,2020-10-23 00:00:00.0000000,RFP (Request for Proposal),Public Sector,006D0000010j1RCIAY,Saarland - DOMEA - Upsell,Enterprise Content Services,313067.58,Won and Closed,Government - Local,DE,Existing Customer - More Capacity,Won and Closed
211,ING-DE- New Input Management,2020-09-30 00:00:00.0000000,RFI (Request for Information),,0063z00001367saAAA,ING-DE- New Input Management,Enterprise Content Services,310719.03,4. Develop Solution,Banking,DE,New Customer,Sales
212,RfP HR contract/document creation tool- Open Text,2021-03-18 00:00:00.0000000,RFP (Request for Proposal),Healthcare,0063z000017eWK0AAM,Fresenius FMC RfP HR contract/document creation tool- Open Text-,Enterprise Content Services,310318.85,3. Establish Needs,Wholesale,DE,Existing Customer/New Solution,Cloud
